,claim,label,justification,claim_date,speaker,reporting_source,location_ISO_code
131,"The NZ Green Party should have delivered 16,000 KiwiBuild houses by now (10/08/2020). They’ve only managed just around 400. And so to promise 5,000 extra houses a year is nothing more than just wishful thinking and is destined to go the same way as KiwiBuild.",Refuted,The answers and sources show that the timescale is incorrect in the claim and the amount of houses built so the claim is refuted.,2020-08-10,Jacqui Dean - National Party housing,Radio New Zealand exerpt and audio file (Mark 2min 10sec),NZ
132,There is an office of the special assistant to the executive governor of Kano state on graveyards,Not Enough Evidence,There is not enough evidence to be sure if there is an office of the special assistant as no answer could be found. ,2020-08-10,@ChidiOdinkalu,Twitter,NG
133,Vaccines have caused deaths in the Philippines.,Refuted,This claim has been refuted by the sources,2020-08-09,Shelton Bobby Valderama,Facebook,PH
134,"Amid the coronavirus pandemic, Facebook has changed its privacy rules, allowing it to use pictures and posts shared by users in lawsuits against them.",Refuted,The Q&A pair point out that Facebook called the claim a scam message.,2020-08-09,Mehmet Yıldırım,Facebook,TR
135,"A video shows people in Pakistan are uprooting the trees planted as part of Imran Khan’s plantation campaign because they consider planting trees as ""unIslamic"".",Refuted,Source information supports the evidence that the claim is flase.,2020-08-09,Major Surendra Poonia,Twitter,PK
136,Donald Trump's payroll tax deferral could leave American workers liable for thousands of dollars during tax season and could potentially leave programs like Social Security and Medicare weakened.,Supported,The tax cut is what helps fund social security and the payroll tax deferral lets the people keep the money instead of sending it to the government to help fund the social security scheme ,2020-08-08,Eugene DePasquale,Twitter,US
137,Choluteca bridge was built in 1996.,Conflicting Evidence/Cherrypicking,the first answer shows that it was actually rebuilt in 1996 but build in 1930,2020-08-08,Nidhi Suman,Facebook,
138,Choluteca bridge withstood a hurricane in 1998 but the river changed course and no longer flows under the bridge.,Supported,The answers show that the river did change course so the claim is supported.,2020-08-08,Nidhi Suman,Facebook,
139,T cells may play a role in the body’s immune response against the virus SARS-CoV-2,Supported,"This claim is supported. According to the QA pairs, T cells have the ability to aid memory cells when an pathogen enters the body that needs to be destroyed. The more times that pathogen tries to affect the immune system, the memory cells (aided by T cells) respond faster and stronger to kill off the infection. Therefore, T cells do play a role in the body's immune system against COVID-19 as if a person were to catch COVID-19 twice, the T cells help weaken the infection. This claim is supported. ",2020-08-07,Carrie Arnold,National Geographic,US
140,"According to Harry Roque, even if 10,000 people die, 10 million COVID-19 cases in the country will not be a loss.",Refuted,Refuted by the supposed source of the claim. (Harry Roque),2020-08-07,Manila Bulletin,Facebook,PH
141,"The Australian govt is handing out $25,000 to all nursing homes who label covid as the main cause of deaths on death certificates.",Refuted,Nursing homes dont fill out death certificates so thus cannot label deaths as covid related.,2020-08-07,Elle Salzone,Facebook,AU
142,Massive international study shows a much lower COVID-19 mortality rate in countries where hydroxychloroquine was prescribed to patients.,Refuted,"No evidence to support the claim presented in the answers but rather than its use was revoked, there was no link to its use and mortality levels and that no medical publication had mentioned a study showing otherwise.",2020-08-06,Jim Hoft is the founder and editor of The Gateway Pundit,Article,US
143,Balbir Singh converted to Islam after he participated in the demolition of Babri Masjid,Supported,The answers and sources show that he did convert to Islam after the demolition and so the claim is supported.,2020-08-06,Majlis Sena A.P,Facebook,IN
144,82% of the public are wearing face masks on Translink buses and trains.,Supported,The fourth Q&A shows that around 80% are wearing masks so the claim is supported.,2020-08-06,@deptinfra,twitter,GB
145,"330,000 people a day are being tested for Covid-19 under the Test and Trace programme in the United Kingdom",Refuted,From the question-answer pair it seems that the claim is refuted,2020-08-05,Nick Gibb MP,BBC Today programme,GB
146,Madagascar has found a coronavirus medicine that can wipe out the virus at any stage within a period of six days.,Refuted,"From the 3rd question and answer pair it seems that the medication has not been tasted against the virus just yet. Therefore, the claim is refuted",2020-08-05,Global Football News Highlights,Facebook,
147,The GOP lawyer who helped Kanye West get on the ballot in Wisconsin USA is actively working for Donald Trump's campaign.,Supported,the answers and sources show that the lawyer is helping Donald Trump so the claim is supported.,2020-08-05,Cameron Joseph,Instagram,US
148,Communist government in Kerala India impose a blackout on August 5 to prevent people from watching the Ram Mandir bhoomi pujan ceremony.,Refuted,"Evidence found that there were no major changes to the electricity consumption rate on August 5, compared to August 3 and 4. August 5 saw 56.22 million units, while the daily averages on August 3 and 4 were 57.4106 and 57.7176. Hence, the claim is refuted.",2020-08-05,Monica ,Twitter,IN
149,Large country-randomized controlled trial in 2.7 billion people shows 79.1% lower death rate in COVID-19 patients treated with hydroxychloroquine,Refuted,"The 2nd Q&A pair state that there is no evidence the group in the claim were treated with the medicine in the claim, so this refutes what the claim states about figures of lower death rates in patients treated with this medicine.",2020-08-05,,CovidAnalysis Website,US
150,The U.S. Health and Human Services Secretary Alex Azar's visit to Taiwan in August 2020 is a breach of international rules.,Refuted,there are no international rules banning high ranking US officials from visiting taiwan,2020-08-04,Hu Xijin,Twitter,TW
151,"The USA has more COVID-19 cases, because they do more tests",Refuted,"Seems that the actual infection cases are increasing not just the testing,from the 2nd QA. Therefore the claim is refuted ",2020-08-03,Donald Trump,https://web.archive.org/web/20210514060602/https://www.axios.com/full-axios-hbo-interview-donald-trump-cd5a67e1-6ba1-46c8-bb3d-8717ab9f3cc5.html,US
152,France approves the use of HCQ for treatment of Covid 19. After trials proved successful. 800 hospital have commenced using it.,Refuted,France did not approve of the use of HCQ to treat COVID-19 patients as the WHO and French Advisory bodies warned against it ,2020-08-03,Ted Attard,Facebook,NG
153,"At Trump’s Tulsa rally there were 12000 people, not 6000 as reported by Axios and others.",Refuted,"Evidence provided by official from Tulsa Fire department that 6,200 attended rally.",2020-08-03,Donald Trump,Axios on HBO,US
154,"Angela Merkel is the daughter of Adolf Hitler, Justin Trudeau is the son of Fidel Castro and Barbara Bush is the daughter of Aleister Crowley.",Refuted,Parents stated in answers dont match claim.,2020-08-03,Robert Elias Valdez,Facebook,US
155,"There is now a 10-year rule. If you damage a federal property such as courthouse, you go to jail for 10 years.",Supported,Correct,2020-08-03,Donald Trump,Axios on HBO,US
156,You can test too much for Covid-19.,Conflicting Evidence/Cherrypicking,The Q&As sources show positives and negatives for frequent testing for COVID-19.  Therefore the claim label selected is conflicting evidence.,2020-08-03,Donald Trump,Axios on HBO,US
157,Trump did more for the Black community than anybody with the possible exception of Abraham Lincoln.,Refuted,"Although Trump did do some things for the black community, the last questions shows experts disagree. ",2020-08-03,Donald Trump,Axios on HBO,US
158,"With African Americans, Trump is doing very well. They had the best employment numbers they’ve ever had. ... They were making more money than they ever made.",Supported,"The 1st Q&A pair does agree with the claim that blacks saw income growth under trump, with record employment that was better than previous years. so supported.",2020-08-03,Donald Trump,Axios on HBO,US
159,"The late Rep. John Lewis, D-Ga., didn't come to Trump's inauguration. He didn't come to Trump's State of the Union speeches.",Supported,Rightly said,2020-08-03,Donald Trump,Axios on HBO,US
160,"California is going to send tens of millions of ballots to California, all over the place.",Refuted,"The claim says all people will receive posted ballots, this is stated to not be true in the first Q&A pair, as only registered voters will receive one",2020-08-03,Donald Trump,Axios on HBO,US
161,"Covid deaths are way down from where it was … It spiked, but now it's going down again. It's going down in Arizona. It's going down in Florida. It's going down in Texas.",Refuted,The answer and source show that the death toll is going up so the claim is refuted.,2020-08-03,Donald Trump,Axios on HBO,US
